EE Code,Fund Code,Fund Code Desc
A1OW,638-22,Behavioral Health Services
A0HF,UNA,Unassigned
A197,UNA,Unassigned
A06D,669-17,CRT Local Unrestricted
A02A,699,Crt Local Unrestricted
A07H,661-18,ACF HeadStart PA22
A1JE,306S-25,DOC State Funded
A0WX,UNA,Unassigned
A1N7,524-18,Dss Ceap Admin
A0MW,564C-23,ENP Midstate Region Congregate
A0X0,699,Crt Local Unrestricted
A1H9,301-23,DEEP Weatherization
A1LY,699,Crt Local Unrestricted
A0HE,567-25,VA SSFF FY25
A1RB,424-25,COH McKinney
A0F9,419-17,Coh Sr Full Day
A1ML,699,Crt Local Unrestricted
A0K9,UNA,Unassigned
A04R,UNA,Unassigned
A0RQ,524-21,Dss Ceap Admin
A1OC,544-20,Oec Infanty Daycare
A05W,UNA,Unassigned
A0HR,524-17,Dss Ceap Admin
A0PM,661-18,ACF HeadStart PA22
A0DW,699,Crt Local Unrestricted
A0TV,UNA,Unassigned
A0O4,605HD-20,Home Delivered
A0AT,332-24,Healthy Families
A10B,638-25,Behavioral Health Services
A150,650-24,Retreat
A0GE,605HD-20,Home Delivered
A074,524-26,DSS CEAP Admin
A1RI,UNA,Unassigned
A0HX,659-17,salaries 2017
A0SL,424-21,Coh Mckinney
A1TX,544-23,Oec Infant Daycare
A0YU,544-22,Oec Infanty Daycare
A0RL,661-17,ACF HeadStart PA22
A0WU,694-17,Third Party Catering
A1AK,424-26,COH McKinney
A13I,661-18,ACF HeadStart PA22
A1N8,UNA,Unassigned
A0IP,611S-23,DSS HSI State
A1QC,UNA,Unassigned
A1L7,699,Crt Local Unrestricted
A0OU,605HD-22,Home Delivered
A126,UNA,Unassigned
A07G,661-18,ACF HeadStart PA22
A1PA,699,Crt Local Unrestricted
A19D,659-18,salaries 2017
A10Z,605C-20,Congregate
A0MU,UNA,Unassigned
A1C2,605-17,Elderly Nutrition
A03I,UNA,Unassigned
A0YO,524-24,DSS CEAP Admin
A0CV,544-25,OEC Infant Daycare
A0YM,UNA,Unassigned
A1KN,UNA,Unassigned
A11C,424-19,Coh Mckinney
A0XG,UNA,Unassigned
A15O,524-21,Dss Ceap Admin
A0XY,605HD-22,Home Delivered
A05H,638-17,Behavioral Health Services
A1VX,375EIS-23,Coh Ryan White Early Intervention
A0J6,605C-19,Congregate
A0T4,659-17,salaries 2017
A12Y,375EIS-26,COH Ryan White Early Intervention
A1HP,363JOB-26,Job Corps
A191,546-26,DSS Assurance 16
A1SG,650-25,Retreat
A1B8,382-23,CRT PSH Consolidated
A1ST,363DOU-26,Douglas
A1RO,419-24,COH SR Full Day
A1BM,UNA,Unassigned
A0OA,UNA,Unassigned
A0XO,321-26,Htfd Health Community Responders
A11I,699,Crt Local Unrestricted
A0J1,699,Crt Local Unrestricted
A1LX,659-17,salaries 2017
A0JO,561-18,Sde Summer Lunch
A0JH,UNA,Unassigned
A146,UNA,Unassigned
A05N,358-25,CT Paid FML Insurance
A1RM,605-17,Elderly Nutrition
A04A,661-18,ACF HeadStart PA22
